number,country,points,price,province,region_1,region_2,title,variety,winery
20,Australia,99,300.0,Victoria,Rutherglen,,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Chambers Rosewood Vineyards
21,US,99,125.0,California,Oakville,Napa,Venge 2008 Family Reserve Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Venge
22,US,99,125.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda Creek 2008 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Quilceda Creek
23,US,99,94.0,California,Sonoma Coast,Sonoma,Williams Selyem 2009 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
24,Italy,99,440.0,Piedmont,Langhe,,Gaja 2007 Sorì San Lorenzo Nebbiolo (Langhe),Nebbiolo,Gaja
25,Italy,99,440.0,Piedmont,Langhe,,Gaja 2007 Sorì Tildìn Nebbiolo (Langhe),Nebbiolo,Gaja
26,Italy,99,250.0,Tuscany,Toscana,,Tenuta dell'Ornellaia 2004 Masseto Merlot (Toscana),Merlot,Tenuta dell'Ornellaia
27,France,99,,Bordeaux,Saint-Émilion,,Château Ausone 2010  Saint-Émilion,Bordeaux-style Red Blend,Château Ausone
28,France,99,,Bordeaux,Pauillac,,Château Pontet-Canet 2009 Barrel sample  (Pauillac),Bordeaux-style Red Blend,Château Pontet-Canet
29,US,99,300.0,California,Napa Valley,Napa,Alpha Omega 2012 ERA Red (Napa Valley),Bordeaux-style Red Blend,Alpha Omega
30,US,99,250.0,California,Atlas Peak,Napa,Alpha Omega 2012 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),Cabernet Sauvignon,Alpha Omega
31,US,99,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse 2011 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse
32,US,99,44.0,California,Sonoma Coast,Sonoma,Failla 2010 Estate Vineyard Chardonnay (Sonoma Coast),Chardonnay,Failla
33,Italy,99,320.0,Tuscany,Toscana,,Le Macchiole 2007 Messorio Merlot (Toscana),Merlot,Le Macchiole
34,US,99,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse 2009 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse
35,France,99,800.0,Champagne,Champagne,,Krug 2002 Clos du Mesnil Brut Blanc de Blancs Chardonnay (Champagne),Chardonnay,Krug
36,France,99,,Bordeaux,Margaux,,Château Palmer 2009 Barrel sample  (Margaux),Bordeaux-style Red Blend,Château Palmer
37,US,99,75.0,California,Sonoma Coast,Sonoma,Williams Selyem 2010 Hirsch Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
38,France,99,,Bordeaux,Sauternes,,Château d'Yquem 2009 Barrel sample  (Sauternes),Bordeaux-style White Blend,Château d'Yquem
39,Portugal,99,426.0,Douro,,,Casa Ferreirinha 2004 Barca Velha Red (Douro),Portuguese Red,Casa Ferreirinha
40,France,99,560.0,Burgundy,Bâtard-Montrachet,,Domaine Leflaive 2010  Bâtard-Montrachet,Chardonnay,Domaine Leflaive
41,Italy,99,235.0,Tuscany,Bolgheri Sassicaia,,Tenuta San Guido 2012 Sassicaia  (Bolgheri Sassicaia),Red Blend,Tenuta San Guido
42,Portugal,99,268.0,Port,,,Taylor Fladgate 2011 Vargellas Vinhas Velhas Vintage  (Port),Port,Taylor Fladgate
43,Australia,99,850.0,South Australia,South Australia,,Penfolds 2010 Grange Shiraz (South Australia),Shiraz,Penfolds
44,Italy,99,200.0,Tuscany,Brunello di Montalcino,,Il Marroneto 2012 Madonna delle Grazie  (Brunello di Montalcino),Sangiovese,Il Marroneto
45,US,99,290.0,California,Napa Valley,Napa,Colgin 2008 IX Estate Red (Napa Valley),Red Blend,Colgin
46,Italy,99,175.0,Piedmont,Barolo,,Mascarello Giuseppe e Figlio 2010 Monprivato  (Barolo),Nebbiolo,Mascarello Giuseppe e Figlio
47,France,99,159.0,Loire Valley,Vouvray,,Domaine Huët 2009 Cuvée Constance 500ml  (Vouvray),Chenin Blanc,Domaine Huët
48,US,99,150.0,California,Napa Valley,Napa,David Arthur 2009 Elevation 1147 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,David Arthur
49,US,99,100.0,California,Oak Knoll District,Napa,Trefethen 2005 Reserve Cabernet Sauvignon (Oak Knoll District),Cabernet Sauvignon,Trefethen
50,Italy,99,595.0,Piedmont,Barolo,,Mascarello Giuseppe e Figlio 2008 Cà d'Morissio Riserva  (Barolo),Nebbiolo,Mascarello Giuseppe e Figlio
51,Italy,99,237.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi 1997 Occhio di Pernice  (Vin Santo di Montepulciano),Prugnolo Gentile,Avignonesi
52,Australia,98,125.0,South Australia,Barossa Valley,,Torbreck 2013 The Factor Shiraz (Barossa Valley),Shiraz,Torbreck
53,US,98,75.0,California,Sonoma Coast,Sonoma,Williams Selyem 2014 Coastlands Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
54,US,98,250.0,California,Green Valley,Sonoma,Iron Horse 2003 Joy! Estate Bottled Sparkling (Green Valley),Sparkling Blend,Iron Horse
55,Italy,98,235.0,Tuscany,Bolgheri Sassicaia,,Tenuta San Guido 2013  Bolgheri Sassicaia,Red Blend,Tenuta San Guido
56,Italy,98,95.0,Tuscany,Brunello di Montalcino,,Conti Costanti 2012  Brunello di Montalcino,Sangiovese,Conti Costanti
57,Austria,98,,Burgenland,,,Kracher 2008 Zwischen den Seen Nummer 9 Trockenbeerenauslese Welschriesling (Burgenland),Welschriesling,Kracher
58,US,98,69.0,California,Russian River Valley,Sonoma,Williams Selyem 2013 Westside Road Neighbors Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
59,France,98,,Burgundy,Clos de Lambrays,,Domaine des Lambrays 2005  Clos de Lambrays,Pinot Noir,Domaine des Lambrays
60,Italy,98,175.0,Tuscany,Bolgheri Superiore,,Tenuta dell'Ornellaia 2004 Ornellaia  (Bolgheri Superiore),Red Blend,Tenuta dell'Ornellaia
61,US,98,110.0,California,Napa-Mendocino-Sonoma-Marin,North Coast,Schramsberg 2004 Reserve Sparkling (Napa-Mendocino-Sonoma-Marin),Sparkling Blend,Schramsberg
62,US,98,155.0,California,Fort Ross-Seaview,Sonoma,Wayfarer 2014 The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer
63,Portugal,98,595.0,Port,,,Quinta do Noval 2001 Nacional Vintage  (Port),Port,Quinta do Noval
64,Germany,98,775.0,Rheingau,,,Robert Weil 2015 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil
65,Australia,98,350.0,Victoria,Rutherglen,,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Chambers Rosewood Vineyards
66,France,98,70.0,Bordeaux,Barsac,,Château Climens 2014  Barsac,Bordeaux-style White Blend,Château Climens
67,US,98,94.0,California,Sonoma Coast,Sonoma,Williams Selyem 2010 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
68,US,98,250.0,California,St. Helena,Napa,Alpha Omega 2012 Beckstoffer Las Piedras Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Alpha Omega
69,France,98,360.0,Bordeaux,Saint-Julien,,Château Léoville Las Cases 2009  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Las Cases
70,Portugal,98,127.0,Port,,,Quinta do Vesuvio 2011 Capela Vintage  (Port),Port,Quinta do Vesuvio
71,Italy,98,83.0,Piedmont,Barolo,,Brovia 2013 Garblèt Suè  (Barolo),Nebbiolo,Brovia
72,US,98,250.0,California,St. Helena,Napa,Alpha Omega 2012 Beckstoffer Dr. Crane Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Alpha Omega
73,France,98,,Bordeaux,Pauillac,,Château Mouton Rothschild 2010  Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild
74,France,98,,Bordeaux,Pessac-Léognan,,Château Haut-Brion 2010  Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Brion
75,France,98,,Bordeaux,Pauillac,,Château Pontet-Canet 2010  Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet
76,Australia,98,135.0,South Australia,Barossa Valley,,Standish 2006 The Relic Shiraz (Barossa Valley),Shiraz,Standish
77,US,98,130.0,California,North Coast,North Coast,Schramsberg 2004 J. Schram Rosé Sparkling (North Coast),Sparkling Blend,Schramsberg
78,France,98,,Bordeaux,Margaux,,Château Margaux 2010  Margaux,Bordeaux-style Red Blend,Château Margaux
79,US,98,125.0,California,Diamond Mountain District,Napa,Von Strasser 2008 Reserve Red (Diamond Mountain District),Bordeaux-style Red Blend,Von Strasser
80,US,98,70.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse 2008 En Cerise Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse
81,US,98,70.0,California,Diamond Mountain District,Napa,Von Strasser 2009 Estate Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Von Strasser
82,France,98,138.0,Burgundy,Clos de la Roche,,Louis Jadot 2005  Clos de la Roche,Pinot Noir,Louis Jadot
83,France,98,319.0,Burgundy,Clos de Tart,,Clos de Tart 2005  Clos de Tart,Pinot Noir,Clos de Tart
84,France,98,134.0,Burgundy,Charmes-Chambertin,,Louis Jadot 2005  Charmes-Chambertin,Pinot Noir,Louis Jadot
85,US,98,250.0,California,Oakville,Napa,Alpha Omega 2012 Beckstoffer Missouri Hopper Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Alpha Omega
86,France,98,305.0,Champagne,Champagne,,Pol Roger 2002 Cuvée Sir Winston Churchill Brut  (Champagne),Champagne Blend,Pol Roger
87,Australia,98,850.0,South Australia,South Australia,,Penfolds 2008 Grange Shiraz (South Australia),Shiraz,Penfolds
88,US,98,185.0,California,St. Helena,Napa,Spottswoode 2013 Family Estate Grown Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Spottswoode
89,US,98,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Figgins 2009 Estate Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Figgins
90,Spain,98,450.0,Northern Spain,Ribera del Duero,,Emilio Moro 2009 Clon de la Familia  (Ribera del Duero),Tinto Fino,Emilio Moro
91,US,98,140.0,Washington,Columbia Valley (WA),Columbia Valley,Charles Smith 2008 Royal City Syrah (Columbia Valley (WA)),Syrah,Charles Smith
92,Italy,98,190.0,Tuscany,Brunello di Montalcino,,Conti Costanti 2010 Riserva  (Brunello di Montalcino),Sangiovese,Conti Costanti
93,Italy,98,120.0,Tuscany,Brunello di Montalcino,,Baricci 2010 Nello Riserva  (Brunello di Montalcino),Sangiovese,Baricci
94,US,98,75.0,California,Sonoma Coast,Sonoma,Williams Selyem 2013 Coastlands Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
95,US,98,275.0,California,Napa Valley,Napa,Araujo 2007 Eisele Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Araujo
96,US,98,85.0,California,Napa Valley,Napa,Dolce 2006 Semillon-Sauvignon Blanc (Napa Valley),Semillon-Sauvignon Blanc,Dolce
97,US,98,625.0,California,Napa Valley,Napa,Yao Ming 2010 Family Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yao Ming
98,US,98,135.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda Creek 2009 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Quilceda Creek
99,France,98,150.0,Rhône Valley,Hermitage,,M. Chapoutier 1999 Le Méal Ermitage  (Hermitage),Rhône-style Red Blend,M. Chapoutier
100,France,98,92.0,Bordeaux,Saint-Julien,,Château Léoville Poyferré 2010  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Poyferré
101,US,98,300.0,California,Sonoma County,Sonoma,Verité 2006 La Joie Red (Sonoma County),Bordeaux-style Red Blend,Verité
102,Italy,98,300.0,Piedmont,Barolo,,Giuseppe Rinaldi 2013 Brunate  (Barolo),Nebbiolo,Giuseppe Rinaldi
103,Italy,98,151.0,Piedmont,Barolo,,Massolino 2011 Vigna Rionda Riserva  (Barolo),Nebbiolo,Massolino
104,Italy,98,70.0,Piedmont,Barolo,,Comm. G. B. Burlotto 2013 Monvigliero  (Barolo),Nebbiolo,Comm. G. B. Burlotto
105,Italy,98,60.0,Piedmont,Barolo,,Brezza 2013 Cannubi  (Barolo),Nebbiolo,Brezza
106,US,98,125.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda Creek 2006 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Quilceda Creek
107,France,98,757.0,Burgundy,Montrachet,,Bouchard Père & Fils 2007  Montrachet,Chardonnay,Bouchard Père & Fils
108,US,98,250.0,California,Napa Valley,Napa,Joseph Phelps 2013 Insignia 40th Vintage Estate Grown Red (Napa Valley),Bordeaux-style Red Blend,Joseph Phelps
109,US,98,55.0,Washington,Columbia Valley (WA),Columbia Valley,Gramercy 2010 Lagniappe Syrah (Columbia Valley (WA)),Syrah,Gramercy
110,US,98,80.0,California,Fort Ross-Seaview,Sonoma,Wayfarer 2014 Wayfarer Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,Wayfarer
111,Italy,98,255.0,Piedmont,Langhe,,Gaja 2006 Sperss Nebbiolo (Langhe),Nebbiolo,Gaja
112,France,98,520.0,Champagne,Champagne,,Salon 2004 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Salon
113,Portugal,98,230.0,Madeira,,,Blandy's 1969 Bual (Madeira),Bual,Blandy's
114,US,98,150.0,California,Oakville,Napa,Goldschmidt 2006 Plus Game Ranch Single Vineyard Selection Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Goldschmidt
115,US,98,75.0,California,Oakville,Napa,Vine Cliff 2007 Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Vine Cliff
116,France,98,,Bordeaux,Barsac,,Château Climens 2009 Barrel sample  (Barsac),Bordeaux-style White Blend,Château Climens
117,France,98,380.0,Bordeaux,Margaux,,Château Palmer 2009  Margaux,Bordeaux-style Red Blend,Château Palmer
118,Australia,98,86.0,Victoria,Rutherglen,,R.L. Buller & Son NV Calliope Rare Tokay (Rutherglen),Tokay,R.L. Buller & Son
119,France,98,,Bordeaux,Pauillac,,Château Mouton Rothschild 2009 Barrel sample  (Pauillac),Bordeaux-style Red Blend,Château Mouton Rothschild
120,US,98,50.0,Washington,Columbia Valley (WA),Columbia Valley,Pirouette 2008 Red Wine Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Pirouette
121,US,98,100.0,California,Anderson Valley,,Goldeneye 2007 Ten Degrees Pinot Noir (Anderson Valley),Pinot Noir,Goldeneye
122,US,98,60.0,California,Mount Veeder,Napa,Mt. Brave 2008 Merlot (Mount Veeder),Merlot,Mt. Brave
123,France,98,1900.0,Bordeaux,Margaux,,Château Margaux 2009  Margaux,Bordeaux-style Red Blend,Château Margaux
124,Italy,98,102.0,Tuscany,Bolgheri Superiore,,Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),Red Blend,Marchesi Antinori
125,France,98,367.0,Burgundy,Bâtard-Montrachet,,Louis Jadot 2014  Bâtard-Montrachet,Chardonnay,Louis Jadot
126,US,98,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse 2011 En Cerise Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse
127,France,98,800.0,Bordeaux,Pessac-Léognan,,Château Haut-Brion 2007  Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Brion
128,US,98,265.0,California,Stags Leap District,Napa,Shafer 2012 Hillside Select Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Shafer
129,France,97,,Bordeaux,Barsac,,Château Coutet 2009 Barrel sample  (Barsac),Bordeaux-style White Blend,Château Coutet
130,France,97,,Bordeaux,Pessac-Léognan,,Domaine de Chevalier 2014  Pessac-Léognan,Bordeaux-style White Blend,Domaine de Chevalier
131,US,97,150.0,California,Napa Valley,Napa,Harlan Estate 2005 The Maiden Red (Napa Valley),Bordeaux-style Red Blend,Harlan Estate
132,France,97,574.0,Burgundy,Chevalier-Montrachet,,Domaine Leflaive 2006  Chevalier-Montrachet,Chardonnay,Domaine Leflaive
133,France,97,,Bordeaux,Sauternes,,Château Rieussec 2009 Barrel sample  (Sauternes),Bordeaux-style White Blend,Château Rieussec
134,France,97,451.0,Burgundy,Bâtard-Montrachet,,Domaine Leflaive 2006  Bâtard-Montrachet,Chardonnay,Domaine Leflaive
135,France,97,145.0,Bordeaux,Saint-Estèphe,,Château Cos d'Estournel 2014  Saint-Estèphe,Bordeaux-style Red Blend,Château Cos d'Estournel
136,France,97,,Bordeaux,Saint-Julien,,Château Léoville Barton 2009 Barrel sample  (Saint-Julien),Bordeaux-style Red Blend,Château Léoville Barton
137,France,97,90.0,Bordeaux,Saint-Émilion,,Château Figeac 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Figeac
138,France,97,95.0,Bordeaux,Pessac-Léognan,,Château Smith Haut Lafitte 2014  Pessac-Léognan,Bordeaux-style White Blend,Château Smith Haut Lafitte
139,France,97,,Bordeaux,Sauternes,,Château la Tour Blanche 2009 Barrel sample  (Sauternes),Bordeaux-style White Blend,Château la Tour Blanche
140,Italy,97,170.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi 1997 375ml  (Vin Santo di Montepulciano),White Blend,Avignonesi
141,France,97,,Bordeaux,Saint-Émilion,,Château Cheval Blanc 2009 Barrel sample  (Saint-Émilion),Bordeaux-style Red Blend,Château Cheval Blanc
142,France,97,530.0,Bordeaux,Saint-Émilion,,Château Ausone 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Ausone
143,US,97,90.0,California,Napa Valley,Napa,Napa Angel 2006 by Montes Aurelio's Selection Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Napa Angel
144,France,97,210.0,Bordeaux,Margaux,,Château Palmer 2014  Margaux,Bordeaux-style Red Blend,Château Palmer
145,US,97,125.0,California,Russian River Valley,Sonoma,Williams Selyem 2010 30th Anniversary Cuvée Estate Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
146,Italy,97,140.0,Tuscany,Brunello di Montalcino,,Ciacci Piccolomini d'Aragona 2010 Vigna di Pianrosso Santa Caterina d'Oro Riserva  (Brunello di Montalcino),Sangiovese,Ciacci Piccolomini d'Aragona
147,US,97,54.0,California,Russian River Valley,Sonoma,Merry Edwards 2007 Meredith Estate Pinot Noir (Russian River Valley),Pinot Noir,Merry Edwards
148,US,97,179.0,California,Green Valley,Sonoma,Iron Horse 1997 Joy! Blanc de Blancs Sparkling (Green Valley),Sparkling Blend,Iron Horse
149,US,97,250.0,California,Oakville,Napa,Alpha Omega 2012 Beckstoffer To Kalon Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Alpha Omega
150,US,97,250.0,California,Rutherford,Napa,Alpha Omega 2012 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Alpha Omega
151,Italy,97,75.0,Piedmont,Barolo,,Grimaldi Bruna 2013 Badarina  (Barolo),Nebbiolo,Grimaldi Bruna
152,Italy,97,375.0,Piedmont,Barolo,,Giuseppe Rinaldi 2013 Tre Tine  (Barolo),Nebbiolo,Giuseppe Rinaldi
153,Italy,97,97.0,Piedmont,Barolo,,Massolino 2013 Parafada  (Barolo),Nebbiolo,Massolino
154,Italy,97,55.0,Piedmont,Barolo,,Giacomo Fenocchio 2013 Bussia  (Barolo),Nebbiolo,Giacomo Fenocchio
155,France,97,,Bordeaux,Saint-Julien,,Château Léoville Las Cases 2009 Barrel sample  (Saint-Julien),Bordeaux-style Red Blend,Château Léoville Las Cases
156,Italy,97,450.0,Tuscany,Brunello di Montalcino,,Poggio di Sotto 2010 Riserva  (Brunello di Montalcino),Sangiovese,Poggio di Sotto
157,Italy,97,290.0,Tuscany,Brunello di Montalcino,,Poggio di Sotto 2010  Brunello di Montalcino,Sangiovese,Poggio di Sotto
158,Italy,97,170.0,Piedmont,Barolo,,Sandrone 2013 Aleste  (Barolo),Nebbiolo,Sandrone
159,Italy,97,100.0,Tuscany,Brunello di Montalcino,,Gianni Brunelli 2010 Riserva  (Brunello di Montalcino),Sangiovese,Gianni Brunelli
160,Italy,97,58.0,Piedmont,Barbaresco,,Produttori del Barbaresco 2011 Rabajà Riserva  (Barbaresco),Nebbiolo,Produttori del Barbaresco
161,Italy,97,82.0,Piedmont,Barolo,,Elvio Cogno 2013 Ravera  (Barolo),Nebbiolo,Elvio Cogno
162,France,97,130.0,Bordeaux,Pomerol,,Vieux Château Certan 2014  Pomerol,Bordeaux-style Red Blend,Vieux Château Certan
163,France,97,135.0,Bordeaux,Saint-Estèphe,,Château Montrose 2014  Saint-Estèphe,Bordeaux-style Red Blend,Château Montrose
164,France,97,450.0,Bordeaux,Margaux,,Château Margaux 2014  Margaux,Bordeaux-style Red Blend,Château Margaux
165,US,97,79.0,California,Russian River Valley,Sonoma,Williams Selyem 2013 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
166,US,97,110.0,California,Napa Valley,Napa,Signorello 2005 Padrone Proprietary Red Wine Red (Napa Valley),Bordeaux-style Red Blend,Signorello
167,Italy,97,70.0,Tuscany,Brunello di Montalcino,,Le Potazzine 2011  Brunello di Montalcino,Sangiovese,Le Potazzine
168,Italy,97,200.0,Tuscany,Bolgheri Superiore,,Tenuta dell'Ornellaia 2006 Ornellaia  (Bolgheri Superiore),Red Blend,Tenuta dell'Ornellaia
169,Spain,97,180.0,Northern Spain,Ribera del Duero,,Emilio Moro 2006 Malleolus de Valderramiro  (Ribera del Duero),Tinto Fino,Emilio Moro
170,US,97,150.0,California,Napa Valley,Napa,JCB 2009 No. 1 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,JCB
171,US,97,130.0,California,Napa Valley,Napa,Caymus 2009 Special Selection Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Caymus
172,France,97,550.0,Burgundy,Chevalier-Montrachet,,Domaine Leflaive 2008  Chevalier-Montrachet,Chardonnay,Domaine Leflaive
173,France,97,430.0,Burgundy,Bâtard-Montrachet,,Domaine Leflaive 2008  Bâtard-Montrachet,Chardonnay,Domaine Leflaive
174,US,97,250.0,California,Napa Valley,Napa,Cardinale 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Cardinale
175,US,97,82.0,California,Russian River Valley,Sonoma,Williams Selyem 2009 Allen Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
176,France,97,1100.0,Bordeaux,Pessac-Léognan,,Château La Mission Haut-Brion 2009  Pessac-Léognan,Bordeaux-style Red Blend,Château La Mission Haut-Brion
177,Italy,97,80.0,Piedmont,Barolo,,Giacomo Fenocchio 2008 Bussia 90 Dì  (Barolo),Nebbiolo,Giacomo Fenocchio
178,Italy,97,98.0,Piedmont,Barolo,,Cavallotto 2007 Vignolo Riserva  (Barolo),Nebbiolo,Cavallotto
179,France,97,305.0,Champagne,Champagne,,Pol Roger 2004 Cuvée Sir Winston Churchill Brut  (Champagne),Champagne Blend,Pol Roger
180,Germany,97,612.0,Rheingau,,,Robert Weil 2009 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil
181,Italy,97,215.0,Tuscany,Bolgheri Superiore,,Tenuta dell'Ornellaia 2008 Ornellaia  (Bolgheri Superiore),Red Blend,Tenuta dell'Ornellaia
182,Italy,97,220.0,Tuscany,Bolgheri Sassicaia,,Tenuta San Guido 2008 Sassicaia  (Bolgheri Sassicaia),Red Blend,Tenuta San Guido
183,France,97,170.0,Bordeaux,Saint-Émilion,,Château Troplong Mondot 2009  Saint-Émilion,Bordeaux-style Red Blend,Château Troplong Mondot
184,US,97,250.0,California,Atlas Peak,Napa,Au Sommet 2008 Cabernet Sauvignon (Atlas Peak),Cabernet Sauvignon,Au Sommet
185,Germany,97,245.0,Pfalz,,,Geh. Rat Dr. von Bassermann-Jordan 2008 Deidesheimer Hohenmorgen Trockenbeerenauslese - 375 ml Riesling (Pfalz),Riesling,Geh. Rat Dr. von Bassermann-Jordan
186,US,97,75.0,California,Anderson Valley,,Goldeneye 2007 Confluence Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Goldeneye
187,US,97,120.0,California,Howell Mountain,Napa,Arkenstone 2006 Obsidian Red (Howell Mountain),Bordeaux-style Red Blend,Arkenstone
188,France,97,,Bordeaux,Pessac-Léognan,,Château Haut-Brion 2012 Barrel Sample  (Pessac-Léognan),Bordeaux-style Red Blend,Château Haut-Brion
189,Germany,97,445.0,Rheingau,,,Schloss Johannisberger 2009 Trockenbeerenauslese Riesling (Rheingau),Riesling,Schloss Johannisberger
