number,country,points,price,province,region_1,region_2,title,variety,winery,taste,array
14,France,100,259.0,Champagne,Champagne,,Krug++Brut++,Champagne Blend,Krug,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
15,France,100,250.0,Champagne,Champagne,,Louis+Roederer++Cristal+Vintage+Brut++,Champagne Blend,Louis Roederer,red-rich-and-intense,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
16,Italy,100,210.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi++Occhio+di+Pernice++,Prugnolo Gentile,Avignonesi,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
17,France,100,848.0,Bordeaux,Pessac-Léognan,,Château+Haut-Brion+++Pessac-Léogn,Bordeaux-style White Blend,Château Haut-Brion,red-light-and-perfumed,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
18,Italy,100,460.0,Tuscany,Toscana,,Tenuta+dell'Ornellaia++Masseto+Merlot+,Merlot,Tenuta dell'Ornellaia,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
19,France,99,0.0,Bordeaux,Pauillac,,Château+Latour+++Pauilla,Bordeaux-style Red Blend,Château Latour,red-savory-and-classic,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
20,Australia,99,300.0,Victoria,Rutherglen,,Chambers+Rosewood+Vineyards+NV+Rare+Muscadelle,Muscadelle,Chambers Rosewood Vineyards,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
21,US,99,125.0,California,Oakville,Napa,Venge++Family+Reserve+Cabernet+Sauvignon+,Cabernet Sauvignon,Venge,red-light-and-perfumed,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
22,US,99,125.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda+Creek++Cabernet+Sauvignon+,Cabernet Sauvignon,Quilceda Creek,red-light-and-perfumed,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
23,US,99,94.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Precious+Mountain+Vineyard+Pinot+Noir+,Pinot Noir,Williams Selyem,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
24,Italy,99,440.0,Piedmont,Langhe,,Gaja++Sorì+San+Lorenzo+Nebbiolo+,Nebbiolo,Gaja,white-green-and-flinty,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
25,Italy,99,440.0,Piedmont,Langhe,,Gaja++Sorì+Tildìn+Nebbiolo+,Nebbiolo,Gaja,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
26,Italy,99,250.0,Tuscany,Toscana,,Tenuta+dell'Ornellaia++Masseto+Merlot+,Merlot,Tenuta dell'Ornellaia,,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
27,France,99,0.0,Bordeaux,Saint-Émilion,,Château+Ausone+++Saint-Émilio,Bordeaux-style Red Blend,Château Ausone,red-savory-and-classic,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
28,France,99,0.0,Bordeaux,Pauillac,,Château+Pontet-Canet++Barrel+sample++,Bordeaux-style Red Blend,Château Pontet-Canet,,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
29,US,99,300.0,California,Napa Valley,Napa,Alpha+Omega++ERA+Red+,Bordeaux-style Red Blend,Alpha Omega,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
30,US,99,250.0,California,Atlas Peak,Napa,Alpha+Omega++Stagecoach+Vineyard+Cabernet+Sauvignon+,Cabernet Sauvignon,Alpha Omega,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
31,US,99,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse++En+Chamberlin+Vineyard+Syrah+,Syrah,Cayuse,white-dry-and-nutty,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
32,US,99,44.0,California,Sonoma Coast,Sonoma,Failla++Estate+Vineyard+Chardonnay+,Chardonnay,Failla,white-green-and-flinty,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
33,Italy,99,320.0,Tuscany,Toscana,,Le+Macchiole++Messorio+Merlot+,Merlot,Le Macchiole,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
34,US,99,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse++En+Chamberlin+Vineyard+Syrah+,Syrah,Cayuse,,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
35,France,99,800.0,Champagne,Champagne,,Krug++Clos+du+Mesnil+Brut+Blanc+de+Blancs+Chardonnay+,Chardonnay,Krug,white-buttery-and-complex,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
36,France,99,0.0,Bordeaux,Margaux,,Château+Palmer++Barrel+sample++,Bordeaux-style Red Blend,Château Palmer,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
37,US,99,75.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Hirsch+Vineyard+Pinot+Noir+,Pinot Noir,Williams Selyem,white-green-and-flinty,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
38,France,99,0.0,Bordeaux,Sauternes,,Château+d'Yquem++Barrel+sample++,Bordeaux-style White Blend,Château d'Yquem,red-savory-and-classic,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
39,ETC,99,426.0,Douro,,,Casa+Ferreirinha++Barca+Velha+Red+,Portuguese Red,Casa Ferreirinha,red-bold-and-structured,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
40,France,99,560.0,Burgundy,Bâtard-Montrachet,,Domaine+Leflaive+++Bâtard-Montrache,Chardonnay,Domaine Leflaive,red-savory-and-classic,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
41,Italy,99,235.0,Tuscany,Bolgheri Sassicaia,,Tenuta+San+Guido++Sassicaia++,Red Blend,Tenuta San Guido,white-tropical-and-balanced,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
42,ETC,99,268.0,Port,,,Taylor+Fladgate++Vargellas+Vinhas+Velhas+Vintage++,Port,Taylor Fladgate,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
43,Australia,99,850.0,South Australia,South Australia,,Penfolds++Grange+Shiraz+,Shiraz,Penfolds,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
44,Italy,99,200.0,Tuscany,Brunello di Montalcino,,Il+Marroneto++Madonna+delle+Grazie++,Sangiovese,Il Marroneto,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
45,US,99,290.0,California,Napa Valley,Napa,Colgin++IX+Estate+Red+,Red Blend,Colgin,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
46,Italy,99,175.0,Piedmont,Barolo,,Mascarello+Giuseppe+e+Figlio++Monprivato++,Nebbiolo,Mascarello Giuseppe e Figlio,red-savory-and-classic,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
47,France,99,159.0,Loire Valley,Vouvray,,Domaine+Huët++Cuvée+Constance+ml++,Chenin Blanc,Domaine Huët,white-dry-and-nutty,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
48,US,99,150.0,California,Napa Valley,Napa,David+Arthur++Elevation++Estate+Cabernet+Sauvignon+,Cabernet Sauvignon,David Arthur,white-dry-and-nutty,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
49,US,99,100.0,California,Oak Knoll District,Napa,Trefethen++Reserve+Cabernet+Sauvignon+,Cabernet Sauvignon,Trefethen,red-bold-and-structured,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
50,Italy,99,595.0,Piedmont,Barolo,,Mascarello+Giuseppe+e+Figlio++Cà+d'Morissio+Riserva++,Nebbiolo,Mascarello Giuseppe e Figlio,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
51,Italy,99,237.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi++Occhio+di+Pernice++,Prugnolo Gentile,Avignonesi,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
52,Australia,98,125.0,South Australia,Barossa Valley,,Torbreck++The+Factor+Shiraz+,Shiraz,Torbreck,red-savory-and-classic,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
53,US,98,75.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Coastlands+Vineyard+Pinot+Noir+,Pinot Noir,Williams Selyem,red-bold-and-structured,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
54,US,98,250.0,California,Green Valley,Sonoma,Iron+Horse++Joy!+Estate+Bottled+Sparkling+,Sparkling Blend,Iron Horse,white-green-and-flinty,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
55,Italy,98,235.0,Tuscany,Bolgheri Sassicaia,,Tenuta+San+Guido+++Bolgheri+Sassicai,Red Blend,Tenuta San Guido,white-tropical-and-balanced,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
56,Italy,98,95.0,Tuscany,Brunello di Montalcino,,Conti+Costanti+++Brunello+di+Montalcin,Sangiovese,Conti Costanti,white-aromatic-and-floral,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
57,ETC,98,0.0,Burgenland,,,Kracher++Zwischen+den+Seen+Nummer++Trockenbeerenauslese+Welschriesling+,Welschriesling,Kracher,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
58,US,98,69.0,California,Russian River Valley,Sonoma,Williams+Selyem++Westside+Road+Neighbors+Pinot+Noir+,Pinot Noir,Williams Selyem,white-buttery-and-complex,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]"
59,France,98,0.0,Burgundy,Clos de Lambrays,,Domaine+des+Lambrays+++Clos+de+Lambray,Pinot Noir,Domaine des Lambrays,red-savory-and-classic,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
60,Italy,98,175.0,Tuscany,Bolgheri Superiore,,Tenuta+dell'Ornellaia++Ornellaia++,Red Blend,Tenuta dell'Ornellaia,red-rich-and-intense,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
61,US,98,110.0,California,Napa-Mendocino-Sonoma-Marin,North Coast,Schramsberg++Reserve+Sparkling+,Sparkling Blend,Schramsberg,white-dry-and-nutty,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
62,US,98,155.0,California,Fort Ross-Seaview,Sonoma,Wayfarer++The+Traveler+Pinot+Noir+,Pinot Noir,Wayfarer,red-savory-and-classic,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
63,ETC,98,595.0,Port,,,Quinta+do+Noval++Nacional+Vintage++,Port,Quinta do Noval,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
64,ETC,98,775.0,Rheingau,,,Robert+Weil++Kiedrich+Gräfenberg+Trockenbeerenauslese+Riesling+,Riesling,Robert Weil,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
65,Australia,98,350.0,Victoria,Rutherglen,,Chambers+Rosewood+Vineyards+NV+Rare+Muscadelle,Muscadelle,Chambers Rosewood Vineyards,white-green-and-flinty,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
66,France,98,70.0,Bordeaux,Barsac,,Château+Climens+++Barsa,Bordeaux-style White Blend,Château Climens,white-buttery-and-complex,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
67,US,98,94.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Precious+Mountain+Vineyard+Pinot+Noir+,Pinot Noir,Williams Selyem,red-rich-and-intense,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
68,US,98,250.0,California,St. Helena,Napa,Alpha+Omega++Beckstoffer+Las+Piedras+Cabernet+Sauvignon+,Cabernet Sauvignon,Alpha Omega,white-green-and-flinty,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
69,France,98,360.0,Bordeaux,Saint-Julien,,Château+Léoville+Las+Cases+++Saint-Julie,Bordeaux-style Red Blend,Château Léoville Las Cases,red-rich-and-intense,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
70,ETC,98,127.0,Port,,,Quinta+do+Vesuvio++Capela+Vintage++,Port,Quinta do Vesuvio,red-light-and-perfumed,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
71,Italy,98,83.0,Piedmont,Barolo,,Brovia++Garblèt+Suè++,Nebbiolo,Brovia,white-dry-and-nutty,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
72,US,98,250.0,California,St. Helena,Napa,Alpha+Omega++Beckstoffer+Dr.+Crane+Cabernet+Sauvignon+,Cabernet Sauvignon,Alpha Omega,red-light-and-perfumed,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
73,France,98,0.0,Bordeaux,Pauillac,,Château+Mouton+Rothschild+++Pauilla,Bordeaux-style Red Blend,Château Mouton Rothschild,white-tropical-and-balanced,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
74,France,98,0.0,Bordeaux,Pessac-Léognan,,Château+Haut-Brion+++Pessac-Léogna,Bordeaux-style Red Blend,Château Haut-Brion,white-dry-and-nutty,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
75,France,98,0.0,Bordeaux,Pauillac,,Château+Pontet-Canet+++Pauilla,Bordeaux-style Red Blend,Château Pontet-Canet,red-bold-and-structured,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
76,Australia,98,135.0,South Australia,Barossa Valley,,Standish++The+Relic+Shiraz+,Shiraz,Standish,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
77,US,98,130.0,California,North Coast,North Coast,Schramsberg++J.+Schram+Rosé+Sparkling+,Sparkling Blend,Schramsberg,white-dry-and-nutty,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
78,France,98,0.0,Bordeaux,Margaux,,Château+Margaux+++Margau,Bordeaux-style Red Blend,Château Margaux,white-dry-and-nutty,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
79,US,98,125.0,California,Diamond Mountain District,Napa,Von+Strasser++Reserve+Red+,Bordeaux-style Red Blend,Von Strasser,red-bold-and-structured,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
80,US,98,70.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse++En+Cerise+Vineyard+Syrah+,Syrah,Cayuse,,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
81,US,98,70.0,California,Diamond Mountain District,Napa,Von+Strasser++Estate+Vineyard+Cabernet+Sauvignon+,Cabernet Sauvignon,Von Strasser,white-dry-and-nutty,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
82,France,98,138.0,Burgundy,Clos de la Roche,,Louis+Jadot+++Clos+de+la+Roch,Pinot Noir,Louis Jadot,red-bold-and-structured,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
83,France,98,319.0,Burgundy,Clos de Tart,,Clos+de+Tart+++Clos+de+Tar,Pinot Noir,Clos de Tart,white-green-and-flinty,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
84,France,98,134.0,Burgundy,Charmes-Chambertin,,Louis+Jadot+++Charmes-Chamberti,Pinot Noir,Louis Jadot,white-dry-and-nutty,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
85,US,98,250.0,California,Oakville,Napa,Alpha+Omega++Beckstoffer+Missouri+Hopper+Cabernet+Sauvignon+,Cabernet Sauvignon,Alpha Omega,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
86,France,98,305.0,Champagne,Champagne,,Pol+Roger++Cuvée+Sir+Winston+Churchill+Brut++,Champagne Blend,Pol Roger,white-green-and-flinty,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
87,Australia,98,850.0,South Australia,South Australia,,Penfolds++Grange+Shiraz+,Shiraz,Penfolds,red-savory-and-classic,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
88,US,98,185.0,California,St. Helena,Napa,Spottswoode++Family+Estate+Grown+Cabernet+Sauvignon+,Cabernet Sauvignon,Spottswoode,white-green-and-flinty,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
89,US,98,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Figgins++Estate+Red+,Bordeaux-style Red Blend,Figgins,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
90,Spain,98,450.0,Northern Spain,Ribera del Duero,,Emilio+Moro++Clon+de+la+Familia++,Tinto Fino,Emilio Moro,red-light-and-perfumed,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
91,US,98,140.0,Washington,Columbia Valley (WA),Columbia Valley,Charles+Smith++Royal+City+Syrah+,Syrah,Charles Smith,white-aromatic-and-floral,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
92,Italy,98,190.0,Tuscany,Brunello di Montalcino,,Conti+Costanti++Riserva++,Sangiovese,Conti Costanti,red-savory-and-classic,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
93,Italy,98,120.0,Tuscany,Brunello di Montalcino,,Baricci++Nello+Riserva++,Sangiovese,Baricci,white-tropical-and-balanced,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
94,US,98,75.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Coastlands+Vineyard+Pinot+Noir+,Pinot Noir,Williams Selyem,red-light-and-perfumed,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
95,US,98,275.0,California,Napa Valley,Napa,Araujo++Eisele+Cabernet+Sauvignon+,Cabernet Sauvignon,Araujo,white-buttery-and-complex,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]"
96,US,98,85.0,California,Napa Valley,Napa,Dolce++Semillon-Sauvignon+Blanc+,Semillon-Sauvignon Blanc,Dolce,white-green-and-flinty,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
97,US,98,625.0,California,Napa Valley,Napa,Yao+Ming++Family+Reserve+Cabernet+Sauvignon+,Cabernet Sauvignon,Yao Ming,red-bold-and-structured,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
98,US,98,135.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda+Creek++Cabernet+Sauvignon+,Cabernet Sauvignon,Quilceda Creek,white-tropical-and-balanced,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
99,France,98,150.0,Rhône Valley,Hermitage,,M.+Chapoutier++Le+Méal+Ermitage++,Rhône-style Red Blend,M. Chapoutier,,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
100,France,98,92.0,Bordeaux,Saint-Julien,,Château+Léoville+Poyferré+++Saint-Julie,Bordeaux-style Red Blend,Château Léoville Poyferré,white-dry-and-nutty,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
