Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,,,,,
sportsdirect,1,2021-02-21,s,mississippi,jackson,wsf,15,400,6000,2400,on,,,,,
footlocker,2,2020-03-04,ne,newyork,newyork,msf,47,400,1880,978,out,,,,,
footlocker,2,2020-01-25,ne,newyork,newyork,msf,40,390,1560,811,out,,,,,
footlocker,2,2020-01-07,ne,newyork,newyork,msf,33,388,1280,666,out,,,,,
footlocker,2,2020-01-01,ne,newyork,newyork,msf,34,384,1306,679,out,,,,,
footlocker,2,2021-02-07,se,georgia,atlanta,msf,31,376,1166,559,out,,,,,
sportsdirect,1,2021-08-22,s,alabama,birmingham,waf,20,375,7500,4125,out,,,,,
footlocker,2,2021-02-18,mw,michigan,detroit,wsf,20,375,7500,2625,in,,,,,
westgear,2,2021-08-11,w,utah,saltlakecity,waf,20,375,7500,3000,in,,,,,
westgear,2,2021-11-11,w,utah,saltlakecity,waf,20,375,7500,3000,in,,,,,
footlocker,2,2021-04-17,s,mississippi,jackson,wsf,15,375,5625,2250,on,,,,,
westgear,1,2021-11-20,s,arkansas,littlerock,maf,15,375,5625,1969,on,,,,,
westgear,1,2021-01-23,s,arkansas,littlerock,wsf,15,375,5625,2250,on,,,,,
footlocker,2,2020-03-16,ne,newyork,newyork,msf,41,375,1538,800,out,,burlington,,arizona,
walmart,1,2020-08-26,s,texas,houston,wsf,29,374,1085,445,out,,manchester,,vermont,
walmart,1,2020-09-01,s,texas,houston,wsf,29,374,1085,445,out,,honolulu,,newhampshire,
footlocker,2,2020-01-31,ne,newyork,newyork,msf,33,372,1228,663,out,,billings,,hawaii,
footlocker,2,2020-02-06,ne,newyork,newyork,msf,44,366,1610,837,out,,philadelphia,,montana,
walmart,2,2020-04-19,ne,newyork,newyork,msf,56,360,2016,1250,on,,anchorage,,pennsylvania,
footlocker,2,2020-03-17,ne,newyork,newyork,maf,37,359,1328,452,out,,,,alaska,
walmart,2,2020-04-18,ne,newyork,newyork,wa,48,355,1704,511,out,,,,,
footlocker,2,2020-01-25,ne,newyork,newyork,msf,46,354,1628,1026,on,,,,,
footlocker,2,2020-03-15,ne,newyork,newyork,wa,47,352,1654,447,out,,,,,
footlocker,2,2021-03-17,mw,missouri,st.louis,wsf,25,350,8750,3063,in,,,,,
footlocker,2,2021-06-18,mw,missouri,st.louis,waf,25,350,8750,3500,in,,,,,
footlocker,2,2021-10-18,mw,missouri,st.louis,maf,25,350,8750,3063,in,,,,,
footlocker,2,2021-11-18,mw,missouri,st.louis,maf,25,350,8750,3063,in,,,,,
westgear,2,2021-05-12,w,utah,saltlakecity,wsf,25,350,8750,3063,in,,,,,
westgear,2,2021-09-12,w,utah,saltlakecity,wsf,10,350,3500,1225,in,,,,,
amazon,2,2021-04-10,mw,ohio,columbus,waf,25,350,8750,3500,on,,,,,
walmart,2,2021-10-18,s,mississippi,jackson,waf,25,350,8750,3500,on,,,,,
sportsdirect,1,2021-02-21,s,mississippi,jackson,maf,25,350,8750,3063,on,,,,,
walmart,1,2021-03-19,s,arkansas,littlerock,wsf,10,350,3500,1400,on,,,,,
walmart,1,2021-03-19,s,arkansas,littlerock,wa,25,350,8750,3500,on,,,,,
walmart,1,2021-09-19,s,arkansas,littlerock,wsf,15,350,5250,2100,on,,,,,
westgear,1,2021-02-21,s,oklahoma,oklahomacity,wa,20,350,7000,2800,on,,,,,
westgear,1,2021-10-21,s,oklahoma,oklahomacity,maf,20,350,7000,2450,on,,,,,
kohls,1,2021-01-16,s,oklahoma,oklahomacity,maf,25,350,8750,3063,on,,,,,
kohls,1,2021-01-16,s,oklahoma,oklahomacity,wsf,15,350,5250,1838,on,,,,,
kohls,1,2021-01-16,s,oklahoma,oklahomacity,wa,25,350,8750,3063,on,,,,,
westgear,2,2021-02-17,ne,westvirginia,charleston,wa,25,350,8750,3500,in,,,,,
footlocker,2,2020-01-03,ne,newyork,newyork,wsf,32,350,1120,414,out,,,,,
footlocker,2,2020-01-24,ne,newyork,newyork,wa,36,350,1260,365,out,,,,,
walmart,2,2020-04-20,ne,newyork,newyork,maf,43,350,1505,497,out,,,,,
walmart,2,2020-04-24,ne,newyork,newyork,wa,45,350,1575,473,out,,,,,
walmart,1,2020-08-23,s,texas,houston,wa,38,350,1330,758,out,,,,,
footlocker,2,2021-01-09,se,georgia,atlanta,msf,26,349,907,426,out,,,,,
footlocker,2,2020-03-09,ne,newyork,newyork,wa,46,347,1596,511,out,,,,,
westgear,2,2021-11-11,w,utah,saltlakecity,wsf,20,345,6900,2415,in,,,,,
westgear,0,2021-01-06,w,california,sanfrancisco,msf,41,341,1398,601,out,,,,,
footlocker,2,2020-03-05,ne,newyork,newyork,maf,41,340,1394,474,out,,,,,
walmart,2,2020-07-18,ne,newyork,newyork,wa,48,340,1632,490,out,,,,,
westgear,0,2021-01-12,w,california,sanfrancisco,msf,41,338,1386,527,out,,,,,
footlocker,2,2020-01-01,ne,newyork,newyork,msf,47,336,1579,963,on,,,,,
footlocker,2,2020-02-05,ne,newyork,newyork,wa,39,333,1299,351,out,,,,,
walmart,2,2020-05-05,ne,newyork,newyork,wsf,42,333,1399,559,out,,,,,
walmart,1,2020-10-26,s,texas,houston,msf,32,333,1066,426,out,,,,,
walmart,1,2020-10-27,s,texas,houston,maf,34,333,1132,476,out,,,,,
westgear,0,2021-02-12,w,california,sanfrancisco,maf,46,332,1527,321,out,,,,,
sportsdirect,1,2021-09-24,s,texas,dallas,wsf,35,332,1162,546,out,,,,,
footlocker,2,2020-01-06,ne,newyork,newyork,wa,38,330,1254,401,out,,,,,
walmart,2,2020-04-26,ne,newyork,newyork,wa,50,330,1650,462,out,,,,,
footlocker,2,2021-08-06,se,southcarolina,charleston,msf,62,326,2021,1152,on,,,,,
footlocker,2,2021-08-18,mw,missouri,st.louis,waf,25,325,8125,3250,in,,,,,
footlocker,2,2021-11-18,mw,missouri,st.louis,waf,25,325,8125,3250,in,,,,,
westgear,2,2021-01-11,mw,missouri,st.louis,waf,20,325,6500,2600,in,,,,,
westgear,2,2021-04-11,w,utah,saltlakecity,maf,25,325,8125,2844,in,,,,,
westgear,2,2021-04-11,w,utah,saltlakecity,wsf,15,325,4875,1706,in,,,,,
westgear,2,2021-09-12,w,utah,saltlakecity,waf,10,325,3250,1300,in,,,,,
westgear,2,2021-09-12,w,utah,saltlakecity,ma,20,325,6500,2275,in,,,,,
amazon,2,2021-03-09,mw,ohio,columbus,waf,25,325,8125,3250,on,,,,,
footlocker,2,2021-02-18,s,mississippi,jackson,waf,25,325,8125,3250,on,,,,,
walmart,1,2021-03-19,s,arkansas,littlerock,maf,20,325,6500,2275,on,,,,,
walmart,1,2021-09-19,s,arkansas,littlerock,waf,15,325,4875,1950,on,,,,,
walmart,1,2021-09-19,s,arkansas,littlerock,ma,25,325,8125,2844,on,,,,,
westgear,1,2021-02-21,s,arkansas,littlerock,wsf,15,325,4875,1950,on,,,,,
kohls,1,2021-02-14,mw,kansas,wichita,wa,20,325,6500,2275,on,,,,,
kohls,1,2021-10-14,mw,kansas,wichita,maf,20,325,6500,2275,on,,,,,
westgear,2,2021-03-16,ne,westvirginia,charleston,wsf,20,325,6500,2600,in,,,,,
footlocker,2,2020-03-16,ne,newyork,newyork,msf,58,325,1885,1150,on,,,,,
footlocker,2,2020-03-31,ne,newyork,newyork,waf,40,324,1296,518,out,,,,,
sportsdirect,2,2020-05-24,se,florida,miami,msf,63,323,2035,1140,on,,,,,
footlocker,2,2020-01-21,ne,newyork,newyork,wsf,32,323,1034,393,out,,,,,
footlocker,2,2020-01-30,ne,newyork,newyork,wa,36,323,1163,314,out,,,,,
walmart,1,2020-08-19,s,texas,houston,maf,33,323,1066,448,out,,,,,
walmart,2,2020-05-02,ne,newyork,newyork,wa,53,322,1707,478,out,,,,,
westgear,0,2021-02-11,w,california,sanfrancisco,msf,40,322,1288,425,out,,,,,
sportsdirect,1,2021-09-18,s,texas,dallas,wsf,33,322,1063,446,out,,,,,
sportsdirect,1,2021-04-17,s,tennessee,knoxville,wsf,30,322,966,483,out,,,,,
sportsdirect,1,2021-09-08,s,alabama,birmingham,wsf,31,322,998,559,out,,,,,
westgear,1,2021-11-20,s,arkansas,littlerock,wsf,25,320,8000,3200,on,,,,,
footlocker,2,2020-01-02,ne,newyork,newyork,maf,36,320,1152,403,out,,,,,
footlocker,2,2020-03-03,ne,newyork,newyork,wa,44,320,1408,408,out,,,,,
footlocker,2,2020-03-10,ne,newyork,newyork,msf,59,319,1882,1129,on,,,,,
walmart,1,2020-08-26,s,texas,houston,wsf,37,319,1180,531,on,,,,,
footlocker,2,2020-08-12,se,florida,miami,msf,43,319,1372,782,on,,,,,
footlocker,2,2020-03-11,ne,newyork,newyork,maf,41,318,1304,482,out,,,,,
footlocker,2,2020-02-06,ne,newyork,newyork,msf,54,317,1712,1096,on,,,,,
footlocker,2,2020-01-08,ne,newyork,newyork,maf,39,315,1229,405,out,,,,,
footlocker,2,2020-01-26,ne,newyork,newyork,maf,35,315,1103,397,out,,,,,
footlocker,2,2020-02-01,ne,newyork,newyork,maf,35,315,1103,364,out,,,,,
footlocker,2,2020-02-02,ne,newyork,newyork,wsf,28,315,882,335,out,,,,,
walmart,2,2020-04-21,ne,newyork,newyork,wsf,36,315,1134,442,out,,,,,
walmart,2,2020-04-23,ne,newyork,newyork,ma,44,315,1386,513,out,,,,,
walmart,1,2020-08-12,s,texas,houston,msf,24,315,756,295,out,,,,,
walmart,1,2020-09-07,s,texas,houston,wsf,36,315,1134,431,out,,,,,
kohls,3,2021-05-25,w,california,losangeles,msf,39,315,1229,565,out,,,,,
footlocker,2,2020-01-27,ne,newyork,newyork,wsf,27,314,848,348,out,,,,,
footlocker,2,2020-03-18,ne,newyork,newyork,wsf,37,314,1162,430,out,,,,,
sportsdirect,1,2021-04-23,s,tennessee,knoxville,wsf,39,314,1225,576,out,,,,,
footlocker,2,2020-01-07,ne,newyork,newyork,msf,46,313,1440,893,on,,,,,
footlocker,2,2020-03-04,ne,newyork,newyork,msf,55,313,1722,1050,on,,,,,
walmart,2,2020-05-03,ne,newyork,newyork,msf,62,312,1934,1238,on,,,,,
footlocker,2,2021-02-07,se,georgia,atlanta,msf,38,312,1186,700,on,,,,,
walmart,2,2020-04-28,ne,newyork,newyork,maf,40,312,1248,449,out,,,,,
footlocker,2,2021-07-05,se,southcarolina,charleston,msf,63,311,1959,1156,on,,,,,
walmart,2,2020-05-04,ne,newyork,newyork,maf,43,310,1333,467,out,,,,,
footlocker,2,2020-03-17,ne,newyork,newyork,maf,53,308,1632,669,on,,,,,
sportsdirect,2,2021-08-03,se,northcarolina,charlotte,msf,61,308,1879,996,on,,,,,
footlocker,2,2020-01-05,ne,newyork,newyork,ma,43,306,1316,487,out,,,,,
footlocker,2,2020-01-23,ne,newyork,newyork,ma,43,306,1316,461,out,,,,,
walmart,2,2020-04-22,ne,newyork,newyork,waf,34,306,1040,406,out,,,,,
walmart,2,2020-05-06,ne,newyork,newyork,waf,41,306,1255,502,out,,,,,
sportsdirect,1,2020-07-31,s,texas,houston,msf,20,306,612,257,out,,,,,
sportsdirect,1,2020-08-06,s,texas,houston,msf,23,306,704,260,out,,,,,
sportsdirect,1,2020-08-07,s,texas,houston,maf,29,306,887,364,out,,,,,
walmart,1,2020-10-21,s,texas,houston,maf,31,306,949,379,out,,,,,
walmart,1,2020-10-31,s,texas,houston,wa,41,306,1255,690,out,,,,,
westgear,0,2021-01-11,w,california,sanfrancisco,wa,60,306,1836,477,out,,,,,
westgear,0,2021-02-06,w,california,sanfrancisco,maf,46,306,1408,282,out,,,,,
kohls,3,2021-05-01,w,california,losangeles,msf,36,306,1102,496,out,,,,,
sportsdirect,1,2021-04-14,s,tennessee,knoxville,wa,37,306,1132,668,out,,,,,
westgear,0,2021-07-16,s,louisiana,neworleans,msf,62,306,1897,816,out,,,,,
footlocker,2,2020-03-09,ne,newyork,newyork,wa,64,305,1952,761,on,,,,,
walmart,1,2020-08-30,s,texas,houston,msf,27,305,824,305,out,,,,,
walmart,1,2020-08-31,s,texas,houston,maf,33,305,1007,382,out,,,,,
footlocker,1,2021-08-08,w,idaho,boise,wsf,39,305,1190,511,out,,,,,
westgear,2,2020-09-17,se,florida,miami,msf,60,304,1824,1040,on,,,,,
walmart,1,2020-08-29,s,texas,houston,wa,36,302,1087,565,out,,,,,
westgear,0,2021-01-18,w,california,sanfrancisco,msf,45,302,1359,544,out,,,,,
sportsdirect,1,2021-04-01,s,tennessee,knoxville,ma,30,300,9000,3150,out,,,,,
sportsdirect,1,2021-09-28,s,alabama,birmingham,ma,30,300,9000,4050,out,,,,,
footlocker,2,2021-05-19,mw,missouri,st.louis,wsf,30,300,9000,3150,in,,,,,
footlocker,2,2021-09-19,mw,missouri,st.louis,wsf,15,300,4500,1575,in,,,,,
westgear,2,2021-02-11,w,utah,saltlakecity,waf,20,300,6000,2400,in,,,,,
westgear,2,2021-10-11,w,utah,saltlakecity,wsf,20,300,6000,2100,in,,,,,
amazon,2,2021-01-22,mw,ohio,columbus,wsf,30,300,9000,3600,on,,,,,
footlocker,2,2021-04-17,s,mississippi,jackson,waf,20,300,6000,2400,on,,,,,
sportsdirect,1,2021-01-23,s,mississippi,jackson,waf,20,300,6000,2400,on,,,,,
walmart,1,2021-04-20,s,arkansas,littlerock,maf,25,300,7500,2625,on,,,,,
walmart,1,2021-04-20,s,arkansas,littlerock,wsf,15,300,4500,1800,on,,,,,
walmart,1,2021-10-21,s,arkansas,littlerock,wsf,20,300,6000,2400,on,,,,,
kohls,1,2021-11-20,s,oklahoma,oklahomacity,maf,15,300,4500,1575,on,,,,,
kohls,1,2021-02-14,s,oklahoma,oklahomacity,wsf,15,300,4500,1575,on,,,,,
kohls,1,2021-04-13,mw,kansas,wichita,wa,30,300,9000,3150,on,,,,,
footlocker,1,2021-10-14,mw,kansas,wichita,wa,30,300,9000,3150,on,,,,,
westgear,2,2021-06-03,mw,wisconsin,milwaukee,maf,30,300,9000,3150,in,,,,,
westgear,2,2021-01-10,mw,wisconsin,milwaukee,wsf,25,300,7500,2625,in,,,,,
westgear,2,2021-02-10,mw,indiana,indianapolis,wa,20,300,6000,2400,in,,,,,
westgear,2,2021-01-17,mw,indiana,indianapolis,wsf,25,300,7500,3000,in,,,,,
westgear,2,2021-02-17,mw,indiana,indianapolis,wsf,30,300,9000,3600,in,,,,,
sportsdirect,2,2021-01-07,ne,newjersey,newark,wsf,30,300,9000,2700,in,,,,,
footlocker,2,2020-01-31,ne,newyork,newyork,msf,45,300,1350,837,on,,,,,
walmart,2,2020-05-04,ne,newyork,newyork,maf,51,300,1530,643,on,,,,,
westgear,2,2020-04-24,se,florida,miami,msf,52,300,1560,874,on,,,,,
walmart,2,2020-04-27,ne,newyork,newyork,msf,60,299,1794,1076,on,,,,,
westgear,2,2020-09-11,se,florida,miami,msf,60,299,1794,1076,on,,,,,
walmart,1,2020-09-10,s,texas,houston,wa,42,298,1252,713,out,,,,,
walmart,1,2020-10-28,s,texas,houston,wsf,38,298,1132,430,out,,,,,
westgear,0,2021-07-23,w,oregon,portland,msf,60,298,1788,751,out,,,,,
walmart,1,2020-09-01,s,texas,houston,wsf,39,297,1158,533,on,,,,,
footlocker,2,2020-03-07,ne,newyork,newyork,waf,38,297,1129,429,out,,,,,
kohls,3,2021-04-19,w,california,losangeles,msf,36,297,1069,470,out,,,,,
walmart,0,2021-07-16,se,florida,orlando,msf,68,297,2020,747,out,,,,,
footlocker,2,2020-02-07,ne,newyork,newyork,maf,37,296,1095,383,out,,,,,
footlocker,2,2020-03-06,ne,newyork,newyork,wsf,37,296,1095,449,out,,,,,
footlocker,2,2021-11-18,mw,missouri,st.louis,wsf,25,295,7375,2581,in,,,,,
footlocker,2,2020-03-12,ne,newyork,newyork,wsf,35,295,1033,434,out,,,,,
walmart,1,2020-08-17,s,texas,houston,wa,32,295,944,538,out,,,,,
walmart,1,2020-08-18,s,texas,houston,msf,28,295,826,339,out,,,,,
walmart,1,2020-08-24,s,texas,houston,msf,29,295,856,342,out,,,,,
sportsdirect,2,2021-07-02,se,northcarolina,charlotte,msf,60,294,1764,882,on,,,,,
walmart,2,2020-04-29,ne,newyork,newyork,wsf,43,294,1264,531,out,,,,,
walmart,1,2020-08-29,s,texas,houston,wa,47,293,1377,868,on,,,,,
westgear,0,2021-02-11,w,california,sanfrancisco,msf,51,293,1494,598,on,,,,,
footlocker,2,2020-01-24,ne,newyork,newyork,wa,48,290,1392,529,on,,,,,
footlocker,2,2020-03-03,ne,newyork,newyork,wa,59,290,1711,616,on,,,,,
walmart,2,2020-04-18,ne,newyork,newyork,wa,62,290,1798,665,on,,,,,
walmart,2,2020-04-26,ne,newyork,newyork,wa,68,290,1972,749,on,,,,,
walmart,2,2020-07-18,ne,newyork,newyork,wa,68,290,1972,690,on,,,,,
westgear,2,2020-04-24,se,florida,miami,msf,55,290,1595,941,on,,,,,
footlocker,2,2021-12-05,se,southcarolina,charleston,msf,67,290,1943,1166,on,,,,,
footlocker,2,2020-01-29,ne,newyork,newyork,ma,43,289,1243,398,out,,,,,
footlocker,2,2020-02-03,ne,newyork,newyork,waf,31,289,896,331,out,,,,,
footlocker,2,2020-02-09,ne,newyork,newyork,waf,33,289,954,381,out,,,,,
walmart,2,2020-04-25,ne,newyork,newyork,ma,51,289,1474,472,out,,,,,
sportsdirect,1,2020-07-26,s,texas,houston,maf,23,289,665,279,out,,,,,
walmart,1,2020-10-25,s,texas,houston,wa,44,289,1272,725,out,,,,,
westgear,0,2020-11-07,w,california,sanfrancisco,msf,28,289,809,340,out,,,,,
westgear,0,2021-01-30,w,california,sanfrancisco,msf,36,289,1040,343,out,,,,,
kohls,3,2021-05-07,w,california,losangeles,msf,38,289,1098,505,out,,,,,
footlocker,2,2021-07-16,s,mississippi,jackson,msf,47,289,1358,625,out,,,,,
footlocker,2,2020-02-08,ne,newyork,newyork,wsf,36,288,1037,435,out,,,,,
footlocker,2,2020-03-08,ne,newyork,newyork,ma,45,288,1296,441,out,,,,,
kohls,3,2021-05-26,w,california,losangeles,maf,42,288,1210,339,out,,,,,
westgear,2,2021-02-10,se,florida,orlando,msf,36,288,1037,487,out,,,,,
footlocker,2,2021-09-05,se,southcarolina,charleston,msf,51,287,1464,849,on,,,,,
walmart,1,2020-08-13,s,texas,houston,maf,30,287,861,362,out,,,,,
westgear,0,2021-01-24,w,california,sanfrancisco,msf,40,287,1148,402,out,,,,,
westgear,0,2021-01-25,w,california,sanfrancisco,maf,42,287,1205,205,out,,,,,
footlocker,2,2020-03-15,ne,newyork,newyork,wa,61,286,1745,698,on,,,,,
walmart,2,2020-05-05,ne,newyork,newyork,wsf,54,285,1539,723,on,,,,,
walmart,1,2020-10-27,s,texas,houston,maf,44,285,1254,602,on,,,,,
sportsdirect,1,2021-04-23,s,tennessee,knoxville,wsf,46,285,1311,787,on,,,,,
walmart,1,2020-08-25,s,texas,houston,maf,32,285,912,383,out,,,,,
kohls,3,2021-04-25,w,california,losangeles,msf,30,285,855,402,out,,,,,
footlocker,2,2020-09-23,se,florida,miami,msf,53,284,1505,828,on,,,,,
footlocker,2,2021-04-06,se,southcarolina,charleston,msf,33,283,934,532,on,,,,,
footlocker,2,2021-05-05,se,southcarolina,charleston,msf,48,282,1354,744,on,,,,,
footlocker,2,2020-01-04,ne,newyork,newyork,waf,36,281,1012,374,out,,,,,
footlocker,2,2020-02-04,ne,newyork,newyork,ma,44,281,1236,445,out,,,,,
walmart,1,2020-10-22,s,texas,houston,wsf,34,281,955,373,out,,,,,
westgear,0,2021-01-08,w,california,sanfrancisco,wsf,42,281,1180,531,out,,,,,
sportsdirect,1,2021-10-16,s,texas,dallas,msf,46,281,1293,608,out,,,,,
footlocker,2,2021-01-09,se,georgia,atlanta,wa,30,281,843,447,out,,,,,
walmart,2,2020-04-24,ne,newyork,newyork,wa,59,280,1652,661,on,,,,,
footlocker,2,2020-02-10,ne,newyork,newyork,ma,47,280,1316,461,out,,,,,
walmart,2,2020-05-01,ne,newyork,newyork,ma,47,280,1316,474,out,,,,,
westgear,0,2021-01-31,w,california,sanfrancisco,maf,39,280,1092,197,out,,,,,
sportsdirect,1,2021-09-11,s,texas,dallas,maf,40,280,1120,459,out,,,,,
sportsdirect,1,2021-09-15,s,texas,dallas,wa,42,280,1176,647,out,,,,,
sportsdirect,1,2021-09-05,s,alabama,birmingham,wa,36,280,1008,645,out,,,,,
sportsdirect,1,2021-09-11,s,alabama,birmingham,wa,47,280,1316,921,out,,,,,
walmart,0,2021-12-16,se,florida,orlando,msf,58,280,1624,585,out,,,,,
walmart,2,2020-04-17,ne,newyork,newyork,ma,43,279,1200,396,out,,,,,
walmart,2,2020-05-07,ne,newyork,newyork,ma,48,279,1339,496,out,,,,,
footlocker,2,2020-03-06,ne,newyork,newyork,wsf,46,278,1279,614,on,,,,,
footlocker,2,2020-09-22,se,florida,miami,wa,56,278,1557,950,on,,,,,
footlocker,2,2021-08-06,se,southcarolina,charleston,wa,58,278,1612,984,on,,,,,
footlocker,2,2021-11-06,se,southcarolina,charleston,msf,50,278,1390,792,on,,,,,
footlocker,2,2020-03-14,ne,newyork,newyork,ma,46,278,1279,435,out,,,,,
westgear,0,2021-01-19,w,california,sanfrancisco,maf,47,278,1307,287,out,,,,,
sportsdirect,1,2021-09-14,s,alabama,birmingham,wsf,36,278,1001,530,out,,,,,
westgear,1,2021-07-06,w,idaho,boise,wsf,34,278,945,397,out,,,,,
westgear,0,2021-01-12,w,california,sanfrancisco,msf,56,277,1551,698,on,,,,,
footlocker,2,2020-01-21,ne,newyork,newyork,wsf,36,276,994,467,on,,,,,
walmart,1,2020-08-17,s,texas,houston,wa,37,276,1021,643,on,,,,,
sportsdirect,2,2021-03-02,se,northcarolina,charlotte,msf,28,276,773,417,on,,,,,
sportsdirect,1,2021-08-23,s,alabama,birmingham,ma,25,275,6875,2750,out,,,,,
footlocker,2,2021-01-18,mw,michigan,detroit,waf,25,275,6875,2750,in,,,,,
footlocker,2,2021-04-18,mw,missouri,st.louis,maf,30,275,8250,2888,in,,,,,
footlocker,2,2021-04-18,mw,missouri,st.louis,wsf,20,275,5500,1925,in,,,,,
footlocker,2,2021-09-19,mw,missouri,st.louis,waf,15,275,4125,1650,in,,,,,
footlocker,2,2021-09-19,mw,missouri,st.louis,ma,25,275,6875,2406,in,,,,,
westgear,2,2021-05-12,w,utah,saltlakecity,waf,25,275,6875,2750,in,,,,,
westgear,2,2021-10-11,w,utah,saltlakecity,waf,20,275,5500,2200,in,,,,,
westgear,2,2021-10-11,w,utah,saltlakecity,ma,30,275,8250,2888,in,,,,,
footlocker,2,2021-03-16,s,mississippi,jackson,waf,20,275,5500,2200,on,,,,,
walmart,1,2021-10-21,s,arkansas,littlerock,waf,20,275,5500,2200,on,,,,,
walmart,1,2021-10-21,s,arkansas,littlerock,ma,30,275,8250,2888,on,,,,,
westgear,1,2021-02-21,s,arkansas,littlerock,maf,25,275,6875,2406,on,,,,,
westgear,1,2021-03-19,s,oklahoma,oklahomacity,wsf,10,275,2750,1100,on,,,,,
westgear,1,2021-03-19,s,oklahoma,oklahomacity,wa,25,275,6875,2750,on,,,,,
westgear,1,2021-09-19,s,oklahoma,oklahomacity,wsf,15,275,4125,1650,on,,,,,
footlocker,1,2021-11-13,mw,kansas,wichita,maf,15,275,4125,1444,on,,,,,
footlocker,2,2021-01-12,mw,kansas,wichita,wsf,30,275,8250,2475,on,,,,,
sportsdirect,2,2021-01-09,mw,southdakota,siouxfalls,wsf,25,275,6875,2063,on,,,,,
sportsdirect,2,2021-02-09,mw,northdakota,fargo,wa,25,275,6875,2750,on,,,,,
footlocker,2,2021-06-06,mw,iowa,desmoines,maf,30,275,8250,2888,in,,,,,
footlocker,2,2021-09-07,mw,iowa,desmoines,maf,30,275,8250,2888,in,,,,,
westgear,2,2021-03-09,mw,indiana,indianapolis,wsf,15,275,4125,1444,in,,,,,
westgear,2,2021-03-09,mw,indiana,indianapolis,wa,25,275,6875,2750,in,,,,,
westgear,2,2021-09-11,mw,indiana,indianapolis,maf,30,275,8250,3300,in,,,,,
westgear,2,2021-03-16,ne,westvirginia,charleston,maf,30,275,8250,3300,in,,,,,
footlocker,2,2021-02-15,ne,maryland,baltimore,wsf,30,275,8250,3300,in,,,,,
footlocker,2,2021-03-13,ne,delaware,wilmington,wsf,30,275,8250,3300,in,,,,,
kohls,2,2021-01-10,ne,delaware,wilmington,wsf,25,275,6875,2750,in,,,,,
walmart,2,2020-04-28,ne,newyork,newyork,maf,53,273,1447,622,on,,,,,
westgear,0,2021-01-06,w,california,sanfrancisco,msf,56,273,1529,764,on,,,,,
westgear,0,2021-01-18,w,california,sanfrancisco,msf,62,273,1693,779,on,,,,,
westgear,0,2021-02-12,w,california,sanfrancisco,maf,58,273,1583,428,on,,,,,
sportsdirect,1,2021-09-24,s,texas,dallas,wsf,46,273,1256,691,on,,,,,
footlocker,2,2020-08-06,w,washington,seattle,msf,44,273,1201,661,on,,,,,
footlocker,2,2021-06-07,se,southcarolina,charleston,msf,51,273,1392,780,on,,,,,
walmart,1,2020-08-11,s,texas,houston,wa,27,272,734,404,out,,,,,
