number,country,points,price,province,region_1,region_2,title,variety,winery,LightBold,SmoothTannin,DrySweet,SoftAcidic
32,US,99,44.0,California,Sonoma Coast,Sonoma,Failla++Estate+Vineyard+Chardonnay+Sonoma+Coast,Chardonnay,Failla,50,50,50,50
33,Italy,99,320.0,Tuscany,Toscana,,Le+Macchiole++Messorio+Merlot+Toscana,Merlot,Le Macchiole,50,50,50,50
34,US,99,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse++En+Chamberlin+Vineyard+Syrah+Walla+Walla+Valley+OR,Syrah,Cayuse,50,50,50,50
35,France,99,800.0,Champagne,Champagne,,Krug++Clos+du+Mesnil+Brut+Blanc+de+Blancs+Chardonnay+Champagne,Chardonnay,Krug,50,50,50,50
36,France,99,,Bordeaux,Margaux,,Château+Palmer++Barrel+sample++Margaux,Bordeaux-style Red Blend,Château Palmer,50,50,50,50
37,US,99,75.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Hirsch+Vineyard+Pinot+Noir+Sonoma+Coast,Pinot Noir,Williams Selyem,50,50,50,50
38,France,99,,Bordeaux,Sauternes,,Château+d'Yquem++Barrel+sample++Sauternes,Bordeaux-style White Blend,Château d'Yquem,50,50,50,50
39,Portugal,99,426.0,Douro,,,Casa+Ferreirinha++Barca+Velha+Red+Douro,Portuguese Red,Casa Ferreirinha,50,50,50,50
40,France,99,560.0,Burgundy,Bâtard-Montrachet,,Domaine+Leflaive+++Bâtard-Montrachet,Chardonnay,Domaine Leflaive,50,50,50,50
41,Italy,99,235.0,Tuscany,Bolgheri Sassicaia,,Tenuta+San+Guido++Sassicaia++Bolgheri+Sassicaia,Red Blend,Tenuta San Guido,50,50,50,50
42,Portugal,99,268.0,Port,,,Taylor+Fladgate++Vargellas+Vinhas+Velhas+Vintage++Port,Port,Taylor Fladgate,50,50,50,50
43,Australia,99,850.0,South Australia,South Australia,,Penfolds++Grange+Shiraz+South+Australia,Shiraz,Penfolds,50,50,50,50
44,Italy,99,200.0,Tuscany,Brunello di Montalcino,,Il+Marroneto++Madonna+delle+Grazie++Brunello+di+Montalcino,Sangiovese,Il Marroneto,50,50,50,50
45,US,99,290.0,California,Napa Valley,Napa,Colgin++IX+Estate+Red+Napa+Valley,Red Blend,Colgin,50,50,50,50
46,Italy,99,175.0,Piedmont,Barolo,,Mascarello+Giuseppe+e+Figlio++Monprivato++Barolo,Nebbiolo,Mascarello Giuseppe e Figlio,50,50,50,50
47,France,99,159.0,Loire Valley,Vouvray,,Domaine+Huët++Cuvée+Constance+ml++Vouvray,Chenin Blanc,Domaine Huët,50,50,50,50
48,US,99,150.0,California,Napa Valley,Napa,David+Arthur++Elevation++Estate+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,David Arthur,50,50,50,50
49,US,99,100.0,California,Oak Knoll District,Napa,Trefethen++Reserve+Cabernet+Sauvignon+Oak+Knoll+District,Cabernet Sauvignon,Trefethen,50,50,50,50
50,Italy,99,595.0,Piedmont,Barolo,,Mascarello+Giuseppe+e+Figlio++Cà+d'Morissio+Riserva++Barolo,Nebbiolo,Mascarello Giuseppe e Figlio,50,50,50,50
51,Italy,99,237.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi++Occhio+di+Pernice++Vin+Santo+di+Montepulciano,Prugnolo Gentile,Avignonesi,50,50,50,50
52,Australia,98,125.0,South Australia,Barossa Valley,,Torbreck++The+Factor+Shiraz+Barossa+Valley,Shiraz,Torbreck,50,50,50,50
53,US,98,75.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Coastlands+Vineyard+Pinot+Noir+Sonoma+Coast,Pinot Noir,Williams Selyem,50,50,50,50
54,US,98,250.0,California,Green Valley,Sonoma,Iron+Horse++Joy!+Estate+Bottled+Sparkling+Green+Valley,Sparkling Blend,Iron Horse,50,50,50,50
55,Italy,98,235.0,Tuscany,Bolgheri Sassicaia,,Tenuta+San+Guido+++Bolgheri+Sassicaia,Red Blend,Tenuta San Guido,50,50,50,50
56,Italy,98,95.0,Tuscany,Brunello di Montalcino,,Conti+Costanti+++Brunello+di+Montalcino,Sangiovese,Conti Costanti,50,50,50,50
57,Austria,98,,Burgenland,,,Kracher++Zwischen+den+Seen+Nummer++Trockenbeerenauslese+Welschriesling+Burgenland,Welschriesling,Kracher,50,50,50,50
58,US,98,69.0,California,Russian River Valley,Sonoma,Williams+Selyem++Westside+Road+Neighbors+Pinot+Noir+Russian+River+Valley,Pinot Noir,Williams Selyem,50,50,50,50
59,France,98,,Burgundy,Clos de Lambrays,,Domaine+des+Lambrays+++Clos+de+Lambrays,Pinot Noir,Domaine des Lambrays,50,50,50,50
60,Italy,98,175.0,Tuscany,Bolgheri Superiore,,Tenuta+dell'Ornellaia++Ornellaia++Bolgheri+Superiore,Red Blend,Tenuta dell'Ornellaia,50,50,50,50
61,US,98,110.0,California,Napa-Mendocino-Sonoma-Marin,North Coast,Schramsberg++Reserve+Sparkling+Napa-Mendocino-Sonoma-Marin,Sparkling Blend,Schramsberg,50,50,50,50
62,US,98,155.0,California,Fort Ross-Seaview,Sonoma,Wayfarer++The+Traveler+Pinot+Noir+Fort+Ross-Seaview,Pinot Noir,Wayfarer,50,50,50,50
63,Portugal,98,595.0,Port,,,Quinta+do+Noval++Nacional+Vintage++Port,Port,Quinta do Noval,50,50,50,50
64,Germany,98,775.0,Rheingau,,,Robert+Weil++Kiedrich+Gräfenberg+Trockenbeerenauslese+Riesling+Rheingau,Riesling,Robert Weil,50,50,50,50
65,Australia,98,350.0,Victoria,Rutherglen,,Chambers+Rosewood+Vineyards+NV+Rare+Muscadelle+Rutherglen,Muscadelle,Chambers Rosewood Vineyards,50,50,50,50
66,France,98,70.0,Bordeaux,Barsac,,Château+Climens+++Barsac,Bordeaux-style White Blend,Château Climens,50,50,50,50
67,US,98,94.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Precious+Mountain+Vineyard+Pinot+Noir+Sonoma+Coast,Pinot Noir,Williams Selyem,50,50,50,50
68,US,98,250.0,California,St. Helena,Napa,Alpha+Omega++Beckstoffer+Las+Piedras+Cabernet+Sauvignon+St.+Helena,Cabernet Sauvignon,Alpha Omega,50,50,50,50
69,France,98,360.0,Bordeaux,Saint-Julien,,Château+Léoville+Las+Cases+++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Las Cases,50,50,50,50
70,Portugal,98,127.0,Port,,,Quinta+do+Vesuvio++Capela+Vintage++Port,Port,Quinta do Vesuvio,50,50,50,50
71,Italy,98,83.0,Piedmont,Barolo,,Brovia++Garblèt+Suè++Barolo,Nebbiolo,Brovia,50,50,50,50
72,US,98,250.0,California,St. Helena,Napa,Alpha+Omega++Beckstoffer+Dr.+Crane+Cabernet+Sauvignon+St.+Helena,Cabernet Sauvignon,Alpha Omega,50,50,50,50
73,France,98,,Bordeaux,Pauillac,,Château+Mouton+Rothschild+++Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,50,50,50,50
74,France,98,,Bordeaux,Pessac-Léognan,,Château+Haut-Brion+++Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Brion,50,50,50,50
75,France,98,,Bordeaux,Pauillac,,Château+Pontet-Canet+++Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet,50,50,50,50
76,Australia,98,135.0,South Australia,Barossa Valley,,Standish++The+Relic+Shiraz+Barossa+Valley,Shiraz,Standish,50,50,50,50
77,US,98,130.0,California,North Coast,North Coast,Schramsberg++J.+Schram+Rosé+Sparkling+North+Coast,Sparkling Blend,Schramsberg,50,50,50,50
78,France,98,,Bordeaux,Margaux,,Château+Margaux+++Margaux,Bordeaux-style Red Blend,Château Margaux,50,50,50,50
79,US,98,125.0,California,Diamond Mountain District,Napa,Von+Strasser++Reserve+Red+Diamond+Mountain+District,Bordeaux-style Red Blend,Von Strasser,50,50,50,50
80,US,98,70.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse++En+Cerise+Vineyard+Syrah+Walla+Walla+Valley+WA,Syrah,Cayuse,50,50,50,50
81,US,98,70.0,California,Diamond Mountain District,Napa,Von+Strasser++Estate+Vineyard+Cabernet+Sauvignon+Diamond+Mountain+District,Cabernet Sauvignon,Von Strasser,50,50,50,50
82,France,98,138.0,Burgundy,Clos de la Roche,,Louis+Jadot+++Clos+de+la+Roche,Pinot Noir,Louis Jadot,50,50,50,50
83,France,98,319.0,Burgundy,Clos de Tart,,Clos+de+Tart+++Clos+de+Tart,Pinot Noir,Clos de Tart,50,50,50,50
84,France,98,134.0,Burgundy,Charmes-Chambertin,,Louis+Jadot+++Charmes-Chambertin,Pinot Noir,Louis Jadot,50,50,50,50
85,US,98,250.0,California,Oakville,Napa,Alpha+Omega++Beckstoffer+Missouri+Hopper+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Alpha Omega,50,50,50,50
86,France,98,305.0,Champagne,Champagne,,Pol+Roger++Cuvée+Sir+Winston+Churchill+Brut++Champagne,Champagne Blend,Pol Roger,50,50,50,50
87,Australia,98,850.0,South Australia,South Australia,,Penfolds++Grange+Shiraz+South+Australia,Shiraz,Penfolds,50,50,50,50
88,US,98,185.0,California,St. Helena,Napa,Spottswoode++Family+Estate+Grown+Cabernet+Sauvignon+St.+Helena,Cabernet Sauvignon,Spottswoode,50,50,50,50
89,US,98,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Figgins++Estate+Red+Walla+Walla+Valley+WA,Bordeaux-style Red Blend,Figgins,50,50,50,50
90,Spain,98,450.0,Northern Spain,Ribera del Duero,,Emilio+Moro++Clon+de+la+Familia++Ribera+del+Duero,Tinto Fino,Emilio Moro,50,50,50,50
91,US,98,140.0,Washington,Columbia Valley (WA),Columbia Valley,Charles+Smith++Royal+City+Syrah+Columbia+Valley+WA,Syrah,Charles Smith,50,50,50,50
92,Italy,98,190.0,Tuscany,Brunello di Montalcino,,Conti+Costanti++Riserva++Brunello+di+Montalcino,Sangiovese,Conti Costanti,50,50,50,50
93,Italy,98,120.0,Tuscany,Brunello di Montalcino,,Baricci++Nello+Riserva++Brunello+di+Montalcino,Sangiovese,Baricci,50,50,50,50
94,US,98,75.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Coastlands+Vineyard+Pinot+Noir+Sonoma+Coast,Pinot Noir,Williams Selyem,50,50,50,50
95,US,98,275.0,California,Napa Valley,Napa,Araujo++Eisele+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Araujo,50,50,50,50
96,US,98,85.0,California,Napa Valley,Napa,Dolce++Semillon-Sauvignon+Blanc+Napa+Valley,Semillon-Sauvignon Blanc,Dolce,50,50,50,50
97,US,98,625.0,California,Napa Valley,Napa,Yao+Ming++Family+Reserve+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Yao Ming,50,50,50,50
98,US,98,135.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda+Creek++Cabernet+Sauvignon+Columbia+Valley+WA,Cabernet Sauvignon,Quilceda Creek,50,50,50,50
99,France,98,150.0,Rhône Valley,Hermitage,,M.+Chapoutier++Le+Méal+Ermitage++Hermitage,Rhône-style Red Blend,M. Chapoutier,50,50,50,50
100,France,98,92.0,Bordeaux,Saint-Julien,,Château+Léoville+Poyferré+++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Poyferré,50,50,50,50
101,US,98,300.0,California,Sonoma County,Sonoma,Verité++La+Joie+Red+Sonoma+County,Bordeaux-style Red Blend,Verité,50,50,50,50
102,Italy,98,300.0,Piedmont,Barolo,,Giuseppe+Rinaldi++Brunate++Barolo,Nebbiolo,Giuseppe Rinaldi,50,50,50,50
103,Italy,98,151.0,Piedmont,Barolo,,Massolino++Vigna+Rionda+Riserva++Barolo,Nebbiolo,Massolino,50,50,50,50
104,Italy,98,70.0,Piedmont,Barolo,,Comm.+G.+B.+Burlotto++Monvigliero++Barolo,Nebbiolo,Comm. G. B. Burlotto,50,50,50,50
105,Italy,98,60.0,Piedmont,Barolo,,Brezza++Cannubi++Barolo,Nebbiolo,Brezza,50,50,50,50
106,US,98,125.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda+Creek++Cabernet+Sauvignon+Columbia+Valley+WA,Cabernet Sauvignon,Quilceda Creek,50,50,50,50
107,France,98,757.0,Burgundy,Montrachet,,Bouchard+Père+&+Fils+++Montrachet,Chardonnay,Bouchard Père & Fils,50,50,50,50
108,US,98,250.0,California,Napa Valley,Napa,Joseph+Phelps++Insignia+th+Vintage+Estate+Grown+Red+Napa+Valley,Bordeaux-style Red Blend,Joseph Phelps,50,50,50,50
109,US,98,55.0,Washington,Columbia Valley (WA),Columbia Valley,Gramercy++Lagniappe+Syrah+Columbia+Valley+WA,Syrah,Gramercy,50,50,50,50
110,US,98,80.0,California,Fort Ross-Seaview,Sonoma,Wayfarer++Wayfarer+Vineyard+Chardonnay+Fort+Ross-Seaview,Chardonnay,Wayfarer,50,50,50,50
111,Italy,98,255.0,Piedmont,Langhe,,Gaja++Sperss+Nebbiolo+Langhe,Nebbiolo,Gaja,50,50,50,50
112,France,98,520.0,Champagne,Champagne,,Salon++Le+Mesnil+Blanc+de+Blancs+Brut+Chardonnay+Champagne,Chardonnay,Salon,50,50,50,50
113,Portugal,98,230.0,Madeira,,,Blandy's++Bual+Madeira,Bual,Blandy's,50,50,50,50
114,US,98,150.0,California,Oakville,Napa,Goldschmidt++Plus+Game+Ranch+Single+Vineyard+Selection+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Goldschmidt,50,50,50,50
115,US,98,75.0,California,Oakville,Napa,Vine+Cliff++Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Vine Cliff,50,50,50,50
116,France,98,,Bordeaux,Barsac,,Château+Climens++Barrel+sample++Barsac,Bordeaux-style White Blend,Château Climens,50,50,50,50
117,France,98,380.0,Bordeaux,Margaux,,Château+Palmer+++Margaux,Bordeaux-style Red Blend,Château Palmer,50,50,50,50
118,Australia,98,86.0,Victoria,Rutherglen,,R.L.+Buller+&+Son+NV+Calliope+Rare+Tokay+Rutherglen,Tokay,R.L. Buller & Son,50,50,50,50
119,France,98,,Bordeaux,Pauillac,,Château+Mouton+Rothschild++Barrel+sample++Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild,50,50,50,50
120,US,98,50.0,Washington,Columbia Valley (WA),Columbia Valley,Pirouette++Red+Wine+Red+Columbia+Valley+WA,Bordeaux-style Red Blend,Pirouette,50,50,50,50
121,US,98,100.0,California,Anderson Valley,,Goldeneye++Ten+Degrees+Pinot+Noir+Anderson+Valley,Pinot Noir,Goldeneye,50,50,50,50
122,US,98,60.0,California,Mount Veeder,Napa,Mt.+Brave++Merlot+Mount+Veeder,Merlot,Mt. Brave,50,50,50,50
123,France,98,1900.0,Bordeaux,Margaux,,Château+Margaux+++Margaux,Bordeaux-style Red Blend,Château Margaux,50,50,50,50
124,Italy,98,102.0,Tuscany,Bolgheri Superiore,,Marchesi+Antinori++Guado+al+Tasso++Bolgheri+Superiore,Red Blend,Marchesi Antinori,50,50,50,50
125,France,98,367.0,Burgundy,Bâtard-Montrachet,,Louis+Jadot+++Bâtard-Montrachet,Chardonnay,Louis Jadot,50,50,50,50
126,US,98,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse++En+Cerise+Vineyard+Syrah+Walla+Walla+Valley+OR,Syrah,Cayuse,50,50,50,50
127,France,98,800.0,Bordeaux,Pessac-Léognan,,Château+Haut-Brion+++Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Brion,50,50,50,50
128,US,98,265.0,California,Stags Leap District,Napa,Shafer++Hillside+Select+Cabernet+Sauvignon+Stags+Leap+District,Cabernet Sauvignon,Shafer,50,50,50,50
129,France,97,,Bordeaux,Barsac,,Château+Coutet++Barrel+sample++Barsac,Bordeaux-style White Blend,Château Coutet,50,50,50,50
130,France,97,,Bordeaux,Pessac-Léognan,,Domaine+de+Chevalier+++Pessac-Léognan,Bordeaux-style White Blend,Domaine de Chevalier,50,50,50,50
131,US,97,150.0,California,Napa Valley,Napa,Harlan+Estate++The+Maiden+Red+Napa+Valley,Bordeaux-style Red Blend,Harlan Estate,50,50,50,50
132,France,97,574.0,Burgundy,Chevalier-Montrachet,,Domaine+Leflaive+++Chevalier-Montrachet,Chardonnay,Domaine Leflaive,50,50,50,50
133,France,97,,Bordeaux,Sauternes,,Château+Rieussec++Barrel+sample++Sauternes,Bordeaux-style White Blend,Château Rieussec,50,50,50,50
134,France,97,451.0,Burgundy,Bâtard-Montrachet,,Domaine+Leflaive+++Bâtard-Montrachet,Chardonnay,Domaine Leflaive,50,50,50,50
135,France,97,145.0,Bordeaux,Saint-Estèphe,,Château+Cos+d'Estournel+++Saint-Estèphe,Bordeaux-style Red Blend,Château Cos d'Estournel,50,50,50,50
136,France,97,,Bordeaux,Saint-Julien,,Château+Léoville+Barton++Barrel+sample++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Barton,50,50,50,50
137,France,97,90.0,Bordeaux,Saint-Émilion,,Château+Figeac+++Saint-Émilion,Bordeaux-style Red Blend,Château Figeac,50,50,50,50
138,France,97,95.0,Bordeaux,Pessac-Léognan,,Château+Smith+Haut+Lafitte+++Pessac-Léognan,Bordeaux-style White Blend,Château Smith Haut Lafitte,50,50,50,50
139,France,97,,Bordeaux,Sauternes,,Château+la+Tour+Blanche++Barrel+sample++Sauternes,Bordeaux-style White Blend,Château la Tour Blanche,50,50,50,50
140,Italy,97,170.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi++ml++Vin+Santo+di+Montepulciano,White Blend,Avignonesi,50,50,50,50
141,France,97,,Bordeaux,Saint-Émilion,,Château+Cheval+Blanc++Barrel+sample++Saint-Émilion,Bordeaux-style Red Blend,Château Cheval Blanc,50,50,50,50
142,France,97,530.0,Bordeaux,Saint-Émilion,,Château+Ausone+++Saint-Émilion,Bordeaux-style Red Blend,Château Ausone,50,50,50,50
143,US,97,90.0,California,Napa Valley,Napa,Napa+Angel++by+Montes+Aurelio's+Selection+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Napa Angel,50,50,50,50
144,France,97,210.0,Bordeaux,Margaux,,Château+Palmer+++Margaux,Bordeaux-style Red Blend,Château Palmer,50,50,50,50
145,US,97,125.0,California,Russian River Valley,Sonoma,Williams+Selyem++th+Anniversary+Cuvée+Estate+Vineyard+Pinot+Noir+Russian+River+Valley,Pinot Noir,Williams Selyem,50,50,50,50
146,Italy,97,140.0,Tuscany,Brunello di Montalcino,,Ciacci+Piccolomini+d'Aragona++Vigna+di+Pianrosso+Santa+Caterina+d'Oro+Riserva++Brunello+di+Montalcino,Sangiovese,Ciacci Piccolomini d'Aragona,50,50,50,50
147,US,97,54.0,California,Russian River Valley,Sonoma,Merry+Edwards++Meredith+Estate+Pinot+Noir+Russian+River+Valley,Pinot Noir,Merry Edwards,50,50,50,50
148,US,97,179.0,California,Green Valley,Sonoma,Iron+Horse++Joy!+Blanc+de+Blancs+Sparkling+Green+Valley,Sparkling Blend,Iron Horse,50,50,50,50
149,US,97,250.0,California,Oakville,Napa,Alpha+Omega++Beckstoffer+To+Kalon+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Alpha Omega,50,50,50,50
150,US,97,250.0,California,Rutherford,Napa,Alpha+Omega++Beckstoffer+Georges+III+Cabernet+Sauvignon+Rutherford,Cabernet Sauvignon,Alpha Omega,50,50,50,50
151,Italy,97,75.0,Piedmont,Barolo,,Grimaldi+Bruna++Badarina++Barolo,Nebbiolo,Grimaldi Bruna,50,50,50,50
152,Italy,97,375.0,Piedmont,Barolo,,Giuseppe+Rinaldi++Tre+Tine++Barolo,Nebbiolo,Giuseppe Rinaldi,50,50,50,50
153,Italy,97,97.0,Piedmont,Barolo,,Massolino++Parafada++Barolo,Nebbiolo,Massolino,50,50,50,50
154,Italy,97,55.0,Piedmont,Barolo,,Giacomo+Fenocchio++Bussia++Barolo,Nebbiolo,Giacomo Fenocchio,50,50,50,50
155,France,97,,Bordeaux,Saint-Julien,,Château+Léoville+Las+Cases++Barrel+sample++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Las Cases,50,50,50,50
156,Italy,97,450.0,Tuscany,Brunello di Montalcino,,Poggio+di+Sotto++Riserva++Brunello+di+Montalcino,Sangiovese,Poggio di Sotto,50,50,50,50
157,Italy,97,290.0,Tuscany,Brunello di Montalcino,,Poggio+di+Sotto+++Brunello+di+Montalcino,Sangiovese,Poggio di Sotto,50,50,50,50
158,Italy,97,170.0,Piedmont,Barolo,,Sandrone++Aleste++Barolo,Nebbiolo,Sandrone,50,50,50,50
159,Italy,97,100.0,Tuscany,Brunello di Montalcino,,Gianni+Brunelli++Riserva++Brunello+di+Montalcino,Sangiovese,Gianni Brunelli,50,50,50,50
160,Italy,97,58.0,Piedmont,Barbaresco,,Produttori+del+Barbaresco++Rabajà+Riserva++Barbaresco,Nebbiolo,Produttori del Barbaresco,50,50,50,50
161,Italy,97,82.0,Piedmont,Barolo,,Elvio+Cogno++Ravera++Barolo,Nebbiolo,Elvio Cogno,50,50,50,50
162,France,97,130.0,Bordeaux,Pomerol,,Vieux+Château+Certan+++Pomerol,Bordeaux-style Red Blend,Vieux Château Certan,50,50,50,50
163,France,97,135.0,Bordeaux,Saint-Estèphe,,Château+Montrose+++Saint-Estèphe,Bordeaux-style Red Blend,Château Montrose,50,50,50,50
164,France,97,450.0,Bordeaux,Margaux,,Château+Margaux+++Margaux,Bordeaux-style Red Blend,Château Margaux,50,50,50,50
165,US,97,79.0,California,Russian River Valley,Sonoma,Williams+Selyem++Rochioli+Riverblock+Vineyard+Pinot+Noir+Russian+River+Valley,Pinot Noir,Williams Selyem,50,50,50,50
166,US,97,110.0,California,Napa Valley,Napa,Signorello++Padrone+Proprietary+Red+Wine+Red+Napa+Valley,Bordeaux-style Red Blend,Signorello,50,50,50,50
167,Italy,97,70.0,Tuscany,Brunello di Montalcino,,Le+Potazzine+++Brunello+di+Montalcino,Sangiovese,Le Potazzine,50,50,50,50
168,Italy,97,200.0,Tuscany,Bolgheri Superiore,,Tenuta+dell'Ornellaia++Ornellaia++Bolgheri+Superiore,Red Blend,Tenuta dell'Ornellaia,50,50,50,50
169,Spain,97,180.0,Northern Spain,Ribera del Duero,,Emilio+Moro++Malleolus+de+Valderramiro++Ribera+del+Duero,Tinto Fino,Emilio Moro,50,50,50,50
170,US,97,150.0,California,Napa Valley,Napa,JCB++No.++Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,JCB,50,50,50,50
